id,audit_id,page_url,issue_type,severity,details_json,start_url,started_at,completed_at
328dc8570a5eb807320d408cf04629cbea86,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/,missing-h1,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
891f2c4e5d242df4f3b913091679504478a0,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/,thin-content,warning,"{""wordCount"":0}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
ee82cdc6dbdaff09c352075273fe64995f07,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/,no-outgoing-links,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
583d9338623d39e4c24900f94b580c2aec9f,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/moonlight-sonata,missing-h1,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
e410aa52dc2b30607b06cddfb43e4409c5be,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/moonlight-sonata,thin-content,warning,"{""wordCount"":0}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
4e3595739fc4a3bed7073303219da88a0f1d,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/moonlight-sonata,no-outgoing-links,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
94f3319b0e2adb98489f1cde1f22e5cf489b,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/approach,slow-response,info,"{""responseTimeMs"":1852}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
7bd7b4ff896b2708d82bbc126e91d909a7ba,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/approach,missing-h1,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
6e569e688aa4e1acb3cc086e71094917f3b1,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/approach,thin-content,warning,"{""wordCount"":0}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
a970b82977504f8f685640d7e9348ca0db87,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/approach,no-outgoing-links,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
1b6bc13dc9ea1c78552a230f1cf49150b7df,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/inova,slow-response,info,"{""responseTimeMs"":1860}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
c24400523b449814f087646eccb16252c916,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/inova,missing-h1,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
f1d17097d1de89377b33b808ebe4ebabe15a,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/inova,thin-content,warning,"{""wordCount"":0}",https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
7e242417bad0f7a563c076bec1baf8f91ca7,bd1f9c86-0dae-4c17-9b4f-a87627a9b009,https://gpcdevelopment.ca/projects/inova,no-outgoing-links,warning,,https://gpcdevelopment.ca/,2026-08-26 16:48:20,2026-08-26T16:50:59.623Z
