url,status_code,title,meta_description,h1_count,h2_count,word_count,images_missing_alt,internal_link_count,external_link_count,response_time_ms,is_indexable
https://gpcdevelopment.ca/,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,539,1
https://gpcdevelopment.ca/projects/moonlight-sonata,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,635,1
https://gpcdevelopment.ca/approach,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,1852,1
https://gpcdevelopment.ca/projects/inova,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,1860,1
https://gpcdevelopment.ca/contact,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,1861,1
https://gpcdevelopment.ca/projects,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2702,1
https://gpcdevelopment.ca/about/tak-ho,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2702,1
https://gpcdevelopment.ca/projects/axir,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2701,1
https://gpcdevelopment.ca/about/zulliy-alnahas,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2702,1
https://gpcdevelopment.ca/services,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2702,1
https://gpcdevelopment.ca/projects/the-lauren,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,1368,1
https://gpcdevelopment.ca/projects/ablone-road,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,840,1
https://gpcdevelopment.ca/projects/lizzybay,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,848,1
https://gpcdevelopment.ca/projects/barrington-road,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,837,1
https://gpcdevelopment.ca/about,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,2702,1
https://gpcdevelopment.ca/projects/spanish-banks,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,640,1
https://gpcdevelopment.ca/projects/buddhist-student-residence,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,646,1
https://gpcdevelopment.ca/projects/516-w-61st-ave,200,GPC Development — West Coast Construction & Development,"A West Coast development and construction studio building considered architecture from Vancouver. Project financing, construction management, and advisory.",0,0,0,0,0,0,653,1
